index,symbol,message,timestamp_raw,timestamp_iso,prob_positive,prob_negative,prob_neutral,pred_label,confidence,sentiment_signed
1,ACHR,"Which earnings release are you most excited for after the close?  
 
Drop a comment for others.",,,0.027095047757029533,0.08358384668827057,0.8893211483955383,neutral,0.8893211483955383,-0.056488798931241035
2,ACHR,"Have a question for Archer Aviation ( $ACHR ) Founder & CEO Adam Goldstein? 
 
Drop it below. We will select a few to ask during a live interview on Friday.",2025-11-05T17:55:34Z,2025-11-05T17:55:34+00:00,0.02982119470834732,0.03313308581709862,0.9370457530021667,neutral,0.9370457530021667,-0.003311891108751297
3,ACHR,$ACHR AMEN Nap. This is the way!,2025-11-05T18:28:07Z,2025-11-05T18:28:07+00:00,0.06909463554620743,0.025120679289102554,0.9057847261428833,neutral,0.9057847261428833,0.043973956257104874
4,ACHR,"$ACHR Im all in in this stock . I know it doesnt look good in these days but it will fly soon. Im not selling beliw 25. Trust me, today srock level is gift. Bullish",2025-11-05T18:28:07Z,2025-11-05T18:28:07+00:00,0.40347930788993835,0.04647362604737282,0.5500470995903015,neutral,0.5500470995903015,0.35700568184256554
5,ACHR,Stocks on sale im buying : $CRWV $RBRK $FIG (earnings after close) $ACHR $DGXX Bullish,2025-11-05T18:23:15Z,2025-11-05T18:23:15+00:00,0.6374518871307373,0.03742850199341774,0.32511961460113525,positive,0.6374518871307373,0.6000233851373196
6,ACHR,"ENVB SQUEEZING! How much volume do you think it takes to halt ENVB up? 
 
ENVB has not even 500k shares float and recent news. 
 
Hoping for a 200% run on ENVB $ACHR $ADBE $USAR $WBD ! Bullish",2025-11-05T18:22:12Z,2025-11-05T18:22:12+00:00,0.34847819805145264,0.02083178609609604,0.6306900382041931,neutral,0.6306900382041931,0.3276464119553566
7,ACHR,$ENVB youtube.com/watch?v=2PsTKk5...,2025-11-05T18:22:12Z,2025-11-05T18:22:12+00:00,0.021434955298900604,0.04311741888523102,0.935447633266449,neutral,0.935447633266449,-0.021682463586330414
8,ACHR,"$ACHR Check out this article from TipRanks | Archer Aviation (ACHR) Wins Tokyo Partnership, Stock Slips Before Earnings Report | tipranks.com/news/archer-av... Bullish",2025-11-05T18:21:44Z,2025-11-05T18:21:44+00:00,0.010736111551523209,0.9413979649543762,0.047866012901067734,negative,0.9413979649543762,-0.930661853402853
9,ACHR,"$ACHR Im all in in this stock . I know it doesnt look good in these days but it will fly soon. Im not selling beliw 25. Trust me, today srock level is gift. Bullish",2025-11-05T18:10:20Z,2025-11-05T18:10:20+00:00,0.40347930788993835,0.04647362604737282,0.5500470995903015,neutral,0.5500470995903015,0.35700568184256554
10,ACHR,$ACHR dronelife.com/2025/11/05/jo... Bullish,2025-11-05T18:06:10Z,2025-11-05T18:06:10+00:00,0.057542748749256134,0.017781825736165047,0.9246754050254822,neutral,0.9246754050254822,0.03976092301309109
